username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
eJHrJUDmpbVB041,เด็กหงส์แดง ลิเวอร์พูล,,180,28,36,2020-07-15 12:49:41,2020-11-13 15:27:12,1,❗️| The Egyptian FA have confirmed that Mohamed Salah has tested positive for COVID-19. https://t.co/Y55DeYTuFa,[]
QuietMoneyshh,"Ignorant nixxa, who's comfortable around murderers and millionaires. 
Fortune favors the bold.
Header shot by @_nvisuals",South Side Providence ,2579,454,19942,2014-09-08 13:23:36,2020-11-13 15:27:12,0,"Someone point me to a crackhead that's had Covid-19, I'll wait ...",[]
nancytaughtyou,"One day I’ll be the Secretary of Education, until then, let me make some noise about education reform. 📚 HS Special Education Teacher 🍎 College Adjunct 🇭🇹",Nan kè intèl ,3920,5199,28774,2020-03-04 00:50:57,2020-11-13 15:27:12,0,"Personalized Learning and Tech Equity Under COVID-19

“One of the big lessons learned during COVID-19 for K-12 schools is that tailoring teaching and learning to students’ individual academic strengths and weaknesses as well as their life circumstances is very hard.”",[]
Jiraffe_org,"Part of @JenxLtd, Jiraffe specialises in sourcing and providing postural support equipment and services. #AssistiveTech",UK,526,1004,1995,2013-11-14 15:36:39,2020-11-13 15:27:12,0,"Think of others this #WorldKindnessDay 💛

We are #HeretoHelp vulnerable UK children &amp; their families during tighter #Covid19 restrictions this winter with life-changing equipment &amp; expertise – including with our Knowledge and Know How service. https://t.co/oezX9x2uuz","[{'text': 'WorldKindnessDay', 'indices': [21, 38]}, {'text': 'HeretoHelp', 'indices': [49, 60]}, {'text': 'Covid19', 'indices': [120, 128]}]"
John_Doe785,,"New York, USA",24,1,79,2020-10-25 14:28:19,2020-11-13 15:27:12,120,"1) not your land
2) no Turks involved
3) no terrorists involved
4) your population isn't peaceful; I saw what you did to your parliament.

Besides that - this is not how you wear a #Covid19 mask. https://t.co/1Rnj4KeEO7",[]
sharelifewppl,,Los Angeles,787,57,2113,2009-05-11 22:41:14,2020-11-13 15:27:12,0,@elonmusk hope you take Covid-19 seriously. https://t.co/HrFupwzPdf,[]
theactresspj218,"Bringing the sass, some crass and putting my foot up DJT’s ass. Every once in a while, I come up with a good one so... stay tuned, friends!",United States,456,170,7045,2018-01-26 01:27:43,2020-11-13 15:27:12,597,"The nightmare situations happening right now in #ElPaso #NorthDakota #SouthDakota &amp; #Utah may not concern you, but the case #s across the US mean your state could be next. It will be disastrous. 1,549 people died of #COVID19 on Wednesday-the highest toll since April. #WearAMask","[{'text': 'ElPaso', 'indices': [65, 72]}, {'text': 'NorthDakota', 'indices': [73, 85]}, {'text': 'SouthDakota', 'indices': [86, 98]}, {'text': 'Utah', 'indices': [105, 110]}]"
nicwispinski,Math geek. Data nerd.,"Philadelphia, PA",228,48,166,2018-12-20 06:42:15,2020-11-13 15:27:12,32,"Do some face masks offer more protection than others? We tested more than 20 different consumer masks to determine if the style, fabric, fit and number of layers make a difference when it comes to guarding against the #coronavirus. Here’s what we learned… 1/12 https://t.co/BhPdaEGRPQ",[]
MarkFrisch4,Safety / Regulatory Compliance. UAL O’Hare.                                          All views and opinions are my own.,,201,155,683,2019-03-11 19:33:08,2020-11-13 15:27:12,1,"This week @ ORD @united started issuing to all BTW workers washing machine safe, lightweight, anti-microbial gloves, made with ionic+ metalized yarn, proven to reduce Covid-19 viability more than 78% in 10 minutes and 98% within 30 minutes of contact. 
#whyIworkSafe #beingUnited https://t.co/Yblic3bpNR",[]
Dramful30,Designer I Artist I #LH44 #DR3 #LN4 #GR63 I F1 I Football I @ManUtd 🇬🇧🇲🇺,"London, England",349,160,11727,2020-04-15 02:11:16,2020-11-13 15:27:12,2,"#LFC forward Mohamed Salah has tested positive for Covid-19, the Egyptian FA has confirmed.","[{'text': 'LFC', 'indices': [19, 23]}]"
PhaiAlidrus,🐾😻 | 🧕🏻 |🍁,Sabah ,175,75,7331,2011-12-22 16:41:02,2020-11-13 15:27:11,3773,"Small wedding. 55 attendees.
Temperature taken at entrance. No fevers reported.

Later, 177 infected.
7 died — and they didn’t even attend the wedding. https://t.co/n0xsPCqMi2",[]
meanyno1,"Allez Allez Allez , Northside ,Blood & Bandages @DellEMC","cork, ireland",1037,434,3927,2012-07-17 13:21:05,2020-11-13 15:27:11,0,"Family can’t fly home to see loved ones , yet no problem in flying football players all over the world for meaningless games #COVID19","[{'text': 'COVID19', 'indices': [125, 133]}]"
Nabid_josh,Chelsea fan. #KTBFFH,"Dhaka,Bangladesh",628,489,6422,2012-01-24 17:22:17,2020-11-13 15:27:11,30,"🏥 BREAKING: The Egyptian FA say Mohamed Salah has tested positive for COVID-19.

#FFScout #FPL #GW9 #LFC #LiverpoolFC #FantasyPL https://t.co/vPb1C9XOK3","[{'text': 'FFScout', 'indices': [94, 102]}, {'text': 'FPL', 'indices': [103, 107]}, {'text': 'GW9', 'indices': [108, 112]}, {'text': 'LFC', 'indices': [113, 117]}, {'text': 'LiverpoolFC', 'indices': [118, 130]}]"
UNFPASierraleon,UNFPA - the United Nations Population Fund - is the United Nations sexual and reproductive health agency ensuring rights and choices for all.,"Freetown, Sierra Leone",1250,6197,2211,2014-01-28 12:33:28,2020-11-13 15:27:11,0,"Today, as part of our #COVID19 response, @UNFPA #SierraLeone provides the @FirstLadyBio with 17,500 Dignity Kits, in support of her Sanitary Pad project.

We are delighted &amp; look forward to further collaboration! 

#LeavingNoOneBehindSL 

@kimevadickson https://t.co/x2Xi7SKvsQ","[{'text': 'COVID19', 'indices': [22, 30]}, {'text': 'SierraLeone', 'indices': [48, 60]}, {'text': 'LeavingNoOneBehindSL', 'indices': [219, 240]}]"
MeiraIbrahim,📚👩🏻‍🏫🤓✨,"Selangor, Malaysia",451,690,44879,2013-03-23 03:11:40,2020-11-13 15:27:11,11,"The Egyptian FA have confirmed that Mohamed Salah has tested positve for COVID-19. ⁣
⁣
Get well soon, Mo! 🙏 https://t.co/QW6dFen2wu",[]
STRiDEDementia,"Research to strengthen responses to dementia in seven developing countries: Brazil, India, Indonesia, Jamaica, Kenya, Mexico and South Africa.",,655,1614,2048,2017-12-12 13:48:22,2020-11-13 15:27:11,4,Call for information on ongoing and completed research projects on COVID-19 and long-term care https://t.co/KrxmocmzvN,[]
roblwilson,Retired Accountant and Counsellor,Scotland,227,3061,1058341,2011-08-03 11:52:54,2020-11-13 15:27:11,888,"School strike week 117. Because of new COVID-19 recommendations and the rapid spread, we’re back to #ClimateStrikeOnline .
If you strike, remember to keep distance and follow COVID-19 restrictions and recommendations.
#fridaysforfuture #schoolstrike4climate #flattenthecurve https://t.co/2W2d48vUhB","[{'text': 'ClimateStrikeOnline', 'indices': [119, 139]}]"
maghrababe,paris • madrid • tanger 🇲🇦 #UyghurLivesMatter,"Madrid, España",130,1315,183644,2009-10-04 15:20:13,2020-11-13 15:27:11,1,"BREAKING: Mohamed Salah has tested positive for COVID-19, the Egyptian FA confirms https://t.co/OJRahWnRuX",[]
LindsayKelleyS,"Bold. Comms/Outreach Pro, Community Builder, Activist, Ally, Feminist, Optimist, NC Native, Travel, was Expat/Zambia, Creative free spirit,👩🏼‍🤝‍👨🏿@musolek","Raleigh, NC",2493,1670,33266,2011-05-27 20:53:27,2020-11-13 15:27:11,1,"Have you called your Member of Congress recently? Check out this video about calling https://t.co/KxDlCMqEgT and then use this Action Alert to Take Action: Elections are over, but the #COVID crisis is not. https://t.co/Im7t6gDmmG https://t.co/YcjkQbvMtN",[]
armaank___,"Manchester United/Real Madrid/Everton.
                    Kaká and Cristiano Ronaldo🐐.",,343,122,2358,2018-07-16 15:27:57,2020-11-13 15:27:11,1220,BREAKING: The Egyptian FA confirms Mo Salah has tested positive for COVID-19 https://t.co/yBtx5qUamw,[]
gkneeward,👨‍👩‍👧‍👦🏋🏼‍♀️🦖🍪🥎🏈✈️🏔⚡️💪🏻,"Kent, OH",434,42,320,2010-11-11 16:20:41,2020-11-13 15:27:11,3,#COVID19 Myths vs. Facts. https://t.co/vg4tN6uInk #InThisTogetherOhio https://t.co/I4gkrdrE1Z,"[{'text': 'COVID19', 'indices': [20, 28]}, {'text': 'InThisTogetherOhio', 'indices': [70, 89]}]"
DmitriNickell1,IUSB class of 20 something,,421,658,4898,2012-06-15 22:26:03,2020-11-13 15:27:11,0,@CaitlinTraxler Florida’s cases are actually going back up and have been steadily since late September. Yes high risk people are high risk for any virus but COVID-19 is far more contagious than other viruses and it’s a new strain of virus meaning we know very little about it.,[]
haleem967,"Cool as a fan
brown girl!
I hate white supremacy and racism 
fellow #resister
born under water8
Trump's a stankin ass diaper wearing white supremacist #FBR #BLM",,1175,883,26576,2012-01-27 04:18:30,2020-11-13 15:27:10,3816,"80% of the people who died in Texas jails from COVID-19 had not been convicted of a crime.

Incarceration should never be a death sentence, but the data is unequivocal: In Texas, and across the country, it has become one.",[]
