username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
shadybrady224,"poker dealer/player. 3rd party voter. 2 party hater. #ScamdemicIsOver #FireZimmer

@Jorgensen4POTUS","St Paul, MN",1756,1678,22171,2013-04-05 05:00:35,2020-11-13 15:26:23,837,"The “90% efficacy rate” of the Pfizer vaccine is based off only 94 positive cases of COVID-19.

The final Pfizer analysis will be conducted after a grand total of 164 positive cases.

And then the plan is to vaccinate 500 million+ people in 2021.

Feels very very rushed to me.",[]
GCee_A,"unashamed .

🎨 : @Cruddy_doods",More Kumasi than Accra,1603,1045,25054,2011-07-22 22:41:10,2020-11-13 15:26:23,19,I don’t mean to overshare but two of my dad’s siblings died from COVID-19 last week. They live in Ghana. Please mask up. It is not a hoax. You might live (with complications) but someone you love won’t.,[]
Manfr3d_,↗A.B.U Zaria📚 ↗Hausa/Yoruba ↗Runway model ↗Event planner/organizer(#colorfestabu19 & #joorpartyabu) ↗Hypman/PR ↗Co CEO @goodboiz_inc ↗08 Dec,"Zaria, Nigeria",2965,2939,38037,2017-02-27 21:25:11,2020-11-13 15:26:23,1181,BREAKING: The Egyptian FA confirms Mo Salah has tested positive for COVID-19 https://t.co/yBtx5qUamw,[]
Santanumalbum,Adopt a #Dog or #Cat from a shelter - Bring more love and joy into your life today - Please retweet for all animals looking for #Adoption. #URGENT PODR,"Long Island, New York",4751,2438,116503,2013-02-01 16:46:24,2020-11-13 15:26:23,9,"Compass in #Advent. 

Our lives are being turned upside down at the moment due to #COVID19 - 
An inviation for young adults to join in a time of reflect on some of the characters in the #Christmas story whose lives were also radically changed. https://t.co/CRY5DbAkK9","[{'text': 'Advent', 'indices': [31, 38]}, {'text': 'COVID19', 'indices': [102, 110]}]"
KingAbdulahIII,Half drunk man. President of The United States. #LFC #EDMFamily #TranceMusic #MDMA #DMT #YNWA,White House - Lahore ,246,130,7556,2020-01-29 17:57:46,2020-11-13 15:26:23,1181,BREAKING: The Egyptian FA confirms Mo Salah has tested positive for COVID-19 https://t.co/yBtx5qUamw,[]
joshuaxmelvin,Blaugranavie 💙❤️.#Blacklivesmatter,"Abidjan,Côte d'Ivoire",710,747,57561,2015-04-06 23:36:22,2020-11-13 15:26:23,5,"The Egyptian FA have confirmed that Mohamed Salah has tested positve for COVID-19. ⁣
⁣
Get well soon, Mo! 🙏 https://t.co/QW6dFen2wu",[]
GregLittle89,Sunlin,SR6,381,277,10921,2010-12-30 14:14:02,2020-11-13 15:26:22,1044,"Something you don't hear much about!

12,887 COVID-19 patients were discharged from English hospitals during the month of October.

3,151 were discharged during the first 4 days of November.",[]
dtscooters,Your favorite authorized online retailer for scooter products! Our focus is scooters that help you reach your travel and mobility dreams! Info@dtscooters.com,Nationwide,60,29,3001,2018-11-01 16:30:50,2020-11-13 15:26:22,0,What Airbnb and VRBO’s 'flexible cancellation policies' actually mean https://t.co/IUQTgcGhWf,[]
Pattiwithaneye,"*BIDEN/HARRIS 2020* autism advocate, special education warrior #impeachtrumpnow #theresistance #patriot #gunreform #feminist #Blacklivesmatter","California, USA",1500,971,5554,2013-11-13 03:35:32,2020-11-13 15:26:22,0,COVID-19 numbers are exploding again and I have to go back in person on Tuesday to a mod/severe special ed classroom in a district that doesn’t provide me health insurance.,[]
NickoGallo,"@liberationdmv

HE DONT MISS",PG county ,743,488,21407,2013-01-04 01:49:15,2020-11-13 15:26:22,5,"Telling Marylanders to “wear the damn masks” just doesn’t hit the same when you’ve kept bars and restaurants open at 75% capacity.  If safety is Hogan’s priority, another lockdown is needed. 

For @thedbk 

https://t.co/7ln4zy5ALl",[]
yeethekop,"if you can't support us when we lose or draw, don't support us when we win - Bill Shankly #StevieG8 #LFC #YNWA #JFT96 #WeAllReds #PerakFA #HarimauMalaya",THIS IS ANFIELD ,436,1716,572293,2010-04-03 10:42:25,2020-11-13 15:26:22,149,"BREAKING: Egyptian FA say Mohamed Salah has tested positive for #coronavirus 

https://t.co/2JsNi69qS2

#LFC https://t.co/IkgcFK0XSX","[{'text': 'coronavirus', 'indices': [80, 92]}, {'text': 'LFC', 'indices': [120, 124]}]"
TOIPune,Your city. Your neighborhood. Your block. Covered for you by https://t.co/VSKi1mCAsZ,"Pune, India",3,11715,51919,2016-11-30 09:56:27,2020-11-13 15:26:22,4,"#Maharashtra records 4,132 new #COVID19 cases, taking tally to 17,40,461, while 127 fatalities put death toll at 45,809

#CoronavirusOutbreak","[{'text': 'Maharashtra', 'indices': [15, 27]}, {'text': 'COVID19', 'indices': [46, 54]}]"
kristenjobarton,writer. feminist. education at the @newsjournal. TTU grad. previously @DailyToreador.,"Longview, TX",1081,539,10534,2014-08-12 15:15:32,2020-11-13 15:26:22,0,"Pine Tree HS band students are raising money for their band director, who survived COVID-19 and a stroke, to help pay for his medical expenses.
It's clear Aaron Tuner's impact on his students is pretty indescribable, but so is their impact on him.
https://t.co/1LzwimpReu",[]
DomDandannyboy,Wrote a book once,london,1395,481,17233,2012-08-14 20:50:31,2020-11-13 15:26:22,0,Petition: Hold a public inquiry into Government contracts granted during Covid-19 https://t.co/mxnmIcDQKL,[]
NASCARonNBC,Official Twitter Account of NASCAR coverage on NBC and NBCSN 🏁🏁🏁🏁🏁🏁🏁 Grab TrackPass below,,629,234504,62807,2013-07-23 14:30:53,2020-11-13 15:26:22,0,.@NASCARHall inductee Ken Squier revealed on his Vermont radio station he has tested positive for #COVID19 and asked his listeners to stay vigilant against the virus. #NASCAR https://t.co/VEtYklbdYX,"[{'text': 'COVID19', 'indices': [98, 106]}, {'text': 'NASCAR', 'indices': [167, 174]}]"
c0ld_1ce_melts,"NY CA NJ DC author* Carbone  🇺🇸 🇮🇪 writing about you (likely not)
#Veterans #5amwritersclub #music 🎶 #Westchester #NYC ❤ ♥personal page - once Cali",,5546,5674,4168,2011-05-27 16:46:45,2020-11-13 15:26:22,0,"Forever mindful here - a reminder for all as we head into the holiday season #COVID19
 https://t.co/2Iel8gksA4","[{'text': 'COVID19', 'indices': [77, 85]}]"
MadessThe,"yep! all lives matter... including black lives.
I came to #resist the *Orange Madness* in The People's House","South Carolina, USA",677,415,15547,2019-09-22 14:54:47,2020-11-13 15:26:21,3813,"80% of the people who died in Texas jails from COVID-19 had not been convicted of a crime.

Incarceration should never be a death sentence, but the data is unequivocal: In Texas, and across the country, it has become one.",[]
NASCARTalkNBC,All things NASCAR from https://t.co/wTce3V3IOS. Follow our writers @NateRyan and @DustinLong.,,117,11009,20501,2015-02-09 19:15:59,2020-11-13 15:26:21,0,.@NASCARHall inductee Ken Squier revealed on his Vermont radio station he has tested positive for #COVID19 and asked his listeners to stay vigilant against the virus. #NASCAR https://t.co/Xb2iuR716B,"[{'text': 'COVID19', 'indices': [98, 106]}, {'text': 'NASCAR', 'indices': [167, 174]}]"
WomeninPath,#womeninpathology #womeninscience #womeninstem  fostering their career development and advancement in #pathobiology #research #pathology http://womeninpathology,"Washington, DC",400,132,170,2020-11-02 11:25:47,2020-11-13 15:26:21,2,Great Panel Discussions this morning on COVID-19 Updates from Frontline Experts! @chhavic @ASIPath #PISA2020 #scicomm #COVID19 https://t.co/WxgK93OaAO,"[{'text': 'PISA2020', 'indices': [116, 125]}, {'text': 'scicomm', 'indices': [126, 134]}]"
GoHilary,Writer. #TheResistance,,4181,3296,20507,2014-02-22 08:02:46,2020-11-13 15:26:21,2250,"BREAKING: Senate voting now to confirm another Trump judicial nominee instead of passing COVID relief.

We just became the first country to pass 10 million COVID-19 cases. More than 239K people in America have died. But McConnell continues to prioritize judges. #NoMoreTrumpJudges",[]
NicoleEstB,,,14,4,27,2020-09-01 14:34:07,2020-11-13 15:26:21,1,"As for their marketing campaign strategy for COVID-19, they decided to exploit the situation by giving tickets away for free in June 2020 for those in the front lines. This had a great impact, creating more engagement with their costumers. #ConsumerJourneyMKT @Marketeers_USFQ","[{'text': 'ConsumerJourneyMKT', 'indices': [240, 259]}]"
JacobKadolph,"Eagle Scout, Geek, Healthcare son, nephew, cousin, & friend; I do not go by ""Jake."" #ThankyouFrontlineHeroes #WashYourHands #WearAMask 😷#TrustScienceNotMyths",,4468,449,31260,2014-11-29 22:09:30,2020-11-13 15:26:21,12,You may have more questions this #FluSeason 🤔. Get the info you need about getting a flu shot during #COVID19 from the @CDCgov: https://t.co/5fejOCMcJn. https://t.co/IUZIenNDzN,"[{'text': 'FluSeason', 'indices': [45, 55]}, {'text': 'COVID19', 'indices': [113, 121]}]"
