username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
MFrance923,"I did not know what hatred means until January 20, 2017 came. I did not even know how to curse. I do now.","California, USA",1975,4418,304279,2011-01-25 11:25:12,2020-11-13 15:56:34,7,@JustinKey101 @Becs You need to know that New Zealand stopped today and the nation collectively held its breath because ONE Covid 19 case was discovered in the entire community.,[]
GlitteryFab,probably old enough to be your mama. #over40club,,78,28,4153,2019-09-09 19:03:07,2020-11-13 15:56:34,7,"What an absolute slap in the face to people who’ve sworn to give their lives for him. To @realDonaldTrump soldiers are suckers and losers, doctors are getting rich off of #COVID19, and apparently the Secret Service is dispensable. https://t.co/UBjpHvmg6B",[]
EmraanChohan,instagram ID: emraan_chohan (All Posts & Reviews are personal and not endorsed by my Employer),"Lahore, Pakistan",1712,616,14247,2013-01-16 12:02:24,2020-11-13 15:56:34,299,"MashaAllah Pak moving towards economic recovery faster than any country in subcontinent &amp; this despite having to deal with Covid 19 challenge. LSM's impressive growth of 7.7% in Sept. Our Industrial Energy Package will help add capacity &amp; raise production.
https://t.co/sjRHDxIzwE",[]
MindFeast622,"Wake me up from this nightmare! 😖 Love T*umps Hate, always. #TheResistance #DACA #BlackLivesMatter #LGBTQ #ShePersisted #MeToo #BidenHarris 🚫No DM’s🙅🏻‍♀️",#Shithole #Petridish Florida ,4690,5090,69828,2010-12-31 05:56:11,2020-11-13 15:56:33,2147,"55 people attended a wedding reception in Maine in August, and 1 of them had Covid. Over the next 38 days, the virus spread to 176 other people and 7 of them died.

None of the victims who lost their lives had attended the reception. https://t.co/bRLWJas4lh",[]
OfGaent1,"Watery Neptune, is now bound in with shame. Within he grief hath kept a tedious fast. Now, to crop at once a too long withered flower.",Portsmouth,368,152,1879,2015-04-05 10:32:09,2020-11-13 15:56:33,967,"The “90% efficacy rate” of the Pfizer vaccine is based off only 94 positive cases of COVID-19.

The final Pfizer analysis will be conducted after a grand total of 164 positive cases.

And then the plan is to vaccinate 500 million+ people in 2021.

Feels very very rushed to me.",[]
Kop__News,Everything related to #LFC!,Liverpool,4306,15058,19312,2010-07-28 06:46:15,2020-11-13 15:56:33,0,Mo Salah tests positive for COVID-19 as Liverpool’s nightmare international break approaches farce https://t.co/mJm7v6g0rf,[]
clemence_nare,,,64,50,70,2017-02-03 00:01:31,2020-11-13 15:56:33,0,"Please join @IGFMining,@coschoolofmines, @SDSGTweets, @TI_Mining on @goxitweet to discuss ESIA Roles, Community Engagement Methods and ESIA in Exploration and special considerations in the face of the COVID-19.
REGISTER NOW: https://t.co/hWPUgnZuH2
@IAIAnetwork,@EIA_NCEA https://t.co/nsew3j7vGZ",[]
EsraGS__1905,İZMİRLİ ATATÜRK SEVDALISI   @GalatasaraySK💛❤️  ARMAYA ADANMIŞ HAYATLAR  😍 +( @KSKorgtr KAF KAF 💚 ❤️ ),TÜRKİYE-izmir-KARŞIYAKA,399,4076,233537,2011-05-23 23:39:57,2020-11-13 15:56:33,15,As most of you know I’ve tested positive to Covid-19. I have lights symptoms but generally fine. Thanks for all your good wishes and messages 🙏🏽❤️,[]
NaijLatestNews,,,614,262,74971,2018-03-24 11:47:20,2020-11-13 15:56:33,0,Petrol Hike: FG’s Policies Devastating Nigerians More Than COVID-19 – Informal Workers https://t.co/MkiuwNr0gt,[]
londonna99,"#JW, #CFC @cmghana @smoooth_chat @SurgeDigi, Children & Youth Rights Advocate, Psychology disciple, 6.7ft, Laughter is good medicine 😂😂","Stamford Bridge, England",2123,3025,120352,2009-12-08 09:09:59,2020-11-13 15:56:33,4,COVID19 is still around the corner. Prevent the spread of the virus by washing your hand regularly with soap under running water and wearing your nose mask!!! #HBCC #WaterAidGhana #WAG #WAUK #CCC #MOI #MOH #DFID #Unilever #COVID19 https://t.co/uX4toPgx4r,[]
Christinekorda,Social Media #Influencer | Forbes Top 50 Digital Influencers | StatSocial Top-100 | #FinTech #Tech #HealthTech #AgeTech #SocialValue | uCareLINGO from @uCarenet,"Toronto, ON CANADA",27848,80862,41149,2008-12-17 02:09:40,2020-11-13 15:56:33,69,"Ontario is reporting 1,396 cases of #COVID19. Locally, there are 440 new cases in Toronto, 440 in Peel and 155 in York Region. There are 1,018 more resolved cases and over 40,500 tests completed.

Today’s numbers will be available at 10:30 a.m. at https://t.co/ypmgZbVRvn.","[{'text': 'COVID19', 'indices': [57, 65]}]"
cicidog2,"#writer #editor #health #travel #Speaker, #coach, https://t.co/tkvSFvwVLb https://t.co/hFJtamACfx","Marina, CA ",1394,1239,42513,2019-11-15 19:53:52,2020-11-13 15:56:33,0,"@vankapro @MaddieBarry8 new data shows 20% of COVID Patients show only gastrointestinal symptoms

1 in 5 show non flu-like symptoms. Gastrointestinal symptoms associated with COVID-19 vary widely but can include loss of appetite, nausea, vomiting, diarrhea and generalized abdominal pain.",[]
TaioVanzuylen,,,511,375,8414,2014-05-14 15:24:54,2020-11-13 15:56:33,4001,The scientists who developed the Pfizer/BioNTech Covid-19 vaccine are a Turkish-German power couple https://t.co/twDtI8aYuf https://t.co/VuJfCKtb8E,[]
flyingeze,"Breaking news, sport, TV, and a whole lot more. Flying Eze informs, educates, and entertains - wherever you are, whatever your age.",,1713,1269,93194,2015-03-09 13:22:41,2020-11-13 15:56:33,0,"Matrix party ‘disguised as film shoot’ to bypass German Covid rules | World news
https://t.co/o4dVY2Og21
#Biology #bypass #coronavirus #covid #Culture #disguised #Europe #film #German","[{'text': 'Biology', 'indices': [105, 113]}, {'text': 'bypass', 'indices': [114, 121]}, {'text': 'coronavirus', 'indices': [122, 134]}, {'text': 'covid', 'indices': [135, 141]}, {'text': 'Culture', 'indices': [142, 150]}, {'text': 'disguised', 'indices': [151, 161]}, {'text': 'Europe', 'indices': [162, 169]}, {'text': 'film', 'indices': [170, 175]}, {'text': 'German', 'indices': [176, 183]}]"
rickydeanfux,Middle Class American living in the midwest,"Denver, CO",139,86,6248,2019-08-23 15:54:32,2020-11-13 15:56:33,0,@BringHenryHome @Greeblehaus @Pathofmostresi1 @KyleClark You have no clue what you are talking about. https://t.co/YDyHpN4uKb,[]
flyingeze,"Breaking news, sport, TV, and a whole lot more. Flying Eze informs, educates, and entertains - wherever you are, whatever your age.",,1713,1269,93194,2015-03-09 13:22:41,2020-11-13 15:56:32,0,"Liverpool star tests positive for COVID-19 on Egypt duty
https://t.co/jjZwrjDpPT
 #-PremierLeague #Egypt #Liverpool #MohamedSalah #PremierLeague #Sports","[{'text': 'Egypt', 'indices': [98, 104]}, {'text': 'Liverpool', 'indices': [105, 115]}, {'text': 'MohamedSalah', 'indices': [116, 129]}, {'text': 'PremierLeague', 'indices': [130, 144]}, {'text': 'Sports', 'indices': [145, 152]}]"
Paula_Dockery,"Former Florida State Senator, loves the Gators & NASCAR. Enjoys a healthy debate. Left Republican Party in January 2017. #BidenHarris2020 #LincolnVoter",Lakeland FL,2371,8592,212364,2009-10-21 13:09:19,2020-11-13 15:56:32,103,"""One in every 47 people in the state is currently battling an active COVID-19 infection."" https://t.co/yuNFd7ylJo",[]
MurphyCBS46,"I'm a Edward R. Murrow & Emmy Award-Winning Investigative Reporter for CBS46 News. I'm also the founder of Miracle For Mom, a 501(c)3 non-profit foundation.","Atlanta, Ga.",996,3559,6872,2010-04-28 21:58:13,2020-11-13 15:56:32,0,#Breaking:  The COVID test for @GaSecofState came back negative. I’m told his leadership lead will quarantine for ten days and be actively engaged with county management throughout the recount process. @cbs46 #gapol #coronavirus https://t.co/f5FWyMNSwS,"[{'text': 'Breaking', 'indices': [0, 9]}, {'text': 'gapol', 'indices': [209, 215]}, {'text': 'coronavirus', 'indices': [216, 228]}]"
car_trump,Latino Music Politics R&B/Soul NBA Photography,,539,169,7436,2020-04-14 04:48:03,2020-11-13 15:56:32,0,@realDonaldTrump @BreitbartNews How about a Covid 19 update? Americans are dying.,[]
